Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep,SleepQ,Exercise(mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
2024-12-11,2986,36.0,Other,23.67,7.62,7.95,7.0,81.0,128.0,10.0,6.728530808402068,9,2,7
2024-10-24,1262,33.0,Female,23.93,7.02,7.08,1.0,1.0,253.0,139.0,8.46634762885678,7,9,9
2024-04-08,3255,20.0,Female,23.53,7.24,7.71,1.0,71.0,103.0,83.0,8.645492971491638,9,3,9
2024-12-14,3961,35.0,Female,21.57,5.33,7.76,9.0,32.0,67.0,32.0,7.951149721467477,4,8,8
2024-05-14,2218,34.0,Male,23.18,6.23,7.04,6.0,21.0,237.0,157.0,11.784084438019566,3,6,8
2024-10-09,1225,38.0,Female,20.45,4.29,7.84,1.0,68.0,146.0,3.0,4.194527731451631,1,1,5
2024-01-06,2060,41.0,Male,20.75,6.08,9.33,3.0,59.0,115.0,159.0,10.809093372134855,3,2,9
2024-08-10,7709,20.0,Female,23.82,7.39,7.58,6.0,22.0,126.0,154.0,6.36232470735151,10,1,8
2024-10-25,8343,56.0,Male,21.9,4.5,6.6,2.0,24.0,12.0,59.0,8.090739190887502,9,4,4
2024-11-16,7655,33.0,Female,23.83,6.02,6.19,2.0,65.0,287.0,85.0,6.625221339797855,10,6,10
2024-02-27,8509,59.0,Female,22.88,6.07,7.19,5.0,7.0,52.0,59.0,5.726568219974745,5,7,4
2024-09-18,1876,49.0,Female,22.57,6.25,7.69,4.0,15.0,268.0,113.0,8.130402786409562,3,1,8
2024-11-14,6177,43.0,Male,21.87,2.77,4.9,9.0,11.0,128.0,57.0,11.321709821011844,2,6,9
2024-08-24,4343,56.0,Other,20.35,4.5,8.15,3.0,75.0,153.0,143.0,5.269171581139928,6,9,5
2024-02-16,3141,22.0,Female,21.78,6.32,8.53,4.0,32.0,253.0,100.0,7.188037875178988,10,6,5
2024-04-09,3849,48.0,Female,21.3,4.32,7.02,1.0,68.0,3.0,15.0,4.564549979203439,7,2,1
2024-06-08,1851,41.0,Female,22.98,4.13,5.14,3.0,42.0,100.0,11.0,7.088821102406194,1,8,10
2024-02-12,8723,46.0,Male,23.5,5.89,6.39,3.0,34.0,214.0,80.0,9.245781083045935,10,10,10
2024-04-24,9808,24.0,Female,20.82,4.46,7.64,8.0,35.0,216.0,20.0,11.74064441216198,4,10,5
2024-07-10,3786,52.0,Female,20.63,4.04,7.4,7.0,61.0,223.0,36.0,5.908774878322721,7,7,9
2024-12-20,5968,47.0,Male,20.32,4.95,8.63,6.0,12.0,186.0,18.0,7.113613429873305,9,3,9
2024-10-10,1717,48.0,Other,21.77,2.68,4.92,5.0,11.0,24.0,179.0,9.380147648616308,4,5,7
2024-05-23,2062,59.0,Female,22.22,5.46,7.25,5.0,34.0,214.0,74.0,4.936536131420847,9,10,10
2024-09-09,2542,30.0,Female,20.82,5.78,8.96,2.0,4.0,28.0,164.0,5.865824579396223,8,1,6
2024-05-24,9702,24.0,Male,20.05,2.3,6.25,3.0,60.0,181.0,166.0,7.39377607397581,10,3,7
2024-05-05,5268,30.0,Female,23.95,8.15,8.2,8.0,60.0,0.0,130.0,8.666950120777276,9,1,9
2024-11-07,1928,55.0,Male,21.95,2.51,4.56,5.0,79.0,212.0,163.0,8.430834275210566,4,9,2
2024-02-16,2256,31.0,Other,22.0,5.64,7.64,6.0,2.0,143.0,11.0,11.66961925926277,8,6,8
2024-06-04,5468,25.0,Female,23.58,6.4,6.82,10.0,59.0,177.0,27.0,4.621877095719879,9,4,6
2024-05-24,6320,50.0,Male,23.2,7.12,7.92,3.0,5.0,81.0,114.0,9.80575606710688,9,2,10
2024-11-07,9989,22.0,Other,23.53,7.92,8.39,2.0,48.0,266.0,84.0,9.996626399808576,9,6,1
2024-04-07,8266,18.0,Male,23.9,8.72,8.82,1.0,68.0,132.0,101.0,11.305326018061145,7,5,5
2024-06-13,5809,27.0,Other,20.33,3.09,6.75,1.0,50.0,172.0,3.0,5.829142444027702,1,8,2
2024-12-13,8239,56.0,Female,21.55,4.43,6.88,3.0,49.0,267.0,53.0,11.743790123518584,9,1,7
2024-07-25,2252,38.0,Female,21.17,2.73,5.56,6.0,63.0,251.0,37.0,8.86470279633508,2,3,2
2024-11-03,5261,50.0,Other,23.48,7.09,7.61,3.0,80.0,132.0,28.0,5.176587847432304,8,1,10
2024-09-29,4579,37.0,Male,21.08,4.05,6.96,3.0,22.0,182.0,79.0,5.215221548098355,6,8,4
2024-12-25,9472,20.0,Other,22.47,7.83,9.37,10.0,50.0,276.0,4.0,6.760661022579094,10,6,5
2024-11-21,7376,29.0,,21.55,2.69,5.14,10.0,44.0,72.0,25.0,10.39528319127234,9,6,8
2024-12-15,3878,34.0,Female,23.0,3.92,4.92,3.0,51.0,206.0,46.0,6.963776822331056,6,10,7
2024-03-18,1364,43.0,Female,22.92,4.08,5.17,3.0,22.0,237.0,106.0,8.256907882122526,2,10,6
2024-08-14,2906,32.0,Male,22.6,4.01,5.41,7.0,56.0,272.0,85.0,6.619978817423317,9,1,4
2024-01-25,8561,20.0,Male,20.28,1.22,4.93,6.0,33.0,110.0,7.0,8.692283477286072,3,10,9
2024-04-10,3739,43.0,Female,22.92,5.91,6.99,6.0,32.0,149.0,20.0,5.222873113474656,7,4,8
2024-11-06,9434,48.0,Male,23.38,4.44,5.06,2.0,83.0,219.0,74.0,10.92405700715184,6,6,1
2024-04-03,3551,55.0,Other,21.93,6.03,8.09,8.0,25.0,172.0,43.0,5.640620481195673,10,6,4
2024-10-01,9915,50.0,Male,23.77,7.8,8.04,6.0,36.0,138.0,99.0,6.565137537276114,3,1,6
2024-06-26,1009,22.0,Other,21.72,3.23,5.51,8.0,1.0,83.0,64.0,5.110598187536163,9,1,9
2024-02-07,4490,47.0,Other,20.07,4.72,8.65,2.0,77.0,136.0,161.0,5.449864529325281,3,1,8
2024-11-15,6951,46.0,Other,20.6,2.11,5.51,3.0,84.0,164.0,4.0,5.885533968519998,10,4,9
2024-08-24,2065,42.0,Female,23.12,5.81,6.7,3.0,37.0,22.0,62.0,8.021763120739834,9,1,1
2024-11-04,4687,57.0,Other,22.83,5.49,6.66,3.0,6.0,178.0,41.0,5.114176581307098,1,4,7
2024-06-05,2120,54.0,Other,22.53,3.2,4.67,6.0,65.0,9.0,4.0,11.014125094093997,1,6,6
2024-06-07,7371,41.0,Other,20.12,1.37,5.25,4.0,75.0,172.0,129.0,4.097624578544356,3,3,4
2024-10-18,1793,44.0,Male,23.17,8.46,9.3,8.0,37.0,133.0,22.0,7.696046429153061,10,8,2
2024-04-20,1827,29.0,Male,23.6,7.64,8.04,10.0,30.0,50.0,28.0,4.833975728414476,9,6,7
2024-09-13,6732,38.0,Female,21.58,2.71,5.12,9.0,0.0,54.0,114.0,8.730203485959434,5,9,5
2024-05-16,9393,43.0,Male,22.85,6.04,7.19,6.0,1.0,209.0,161.0,11.347637799514407,3,6,8
2024-01-25,2990,23.0,Male,23.53,5.85,6.31,6.0,25.0,155.0,113.0,9.308298976133685,7,1,4
2024-12-26,1688,37.0,Female,21.45,4.63,7.18,8.0,48.0,256.0,140.0,7.178544923660783,3,8,3
2024-11-13,3079,47.0,Male,20.73,3.12,6.39,8.0,18.0,17.0,0.0,10.204220933560084,2,2,6
2024-04-22,6797,21.0,Male,23.47,4.34,4.88,3.0,31.0,265.0,109.0,8.21262773327435,1,7,7
2024-10-14,4462,46.0,Male,20.9,2.67,5.77,7.0,58.0,254.0,71.0,4.832868655876591,5,3,3
2024-04-06,4675,25.0,Female,22.52,7.96,9.44,8.0,45.0,164.0,141.0,6.345181842088106,2,7,10
2024-09-19,3198,38.0,Other,23.3,6.72,7.42,2.0,1.0,196.0,147.0,6.686926857198681,2,3,7
2024-04-28,5491,37.0,Male,20.62,4.99,8.37,9.0,52.0,279.0,80.0,10.947743807183302,8,7,1
2024-04-24,3573,26.0,Female,20.4,2.19,5.79,6.0,21.0,234.0,3.0,5.058209689002643,2,7,5
2024-03-15,7981,35.0,Male,21.58,4.57,6.99,2.0,16.0,164.0,152.0,7.979719151839125,7,5,10
2024-12-07,3074,48.0,Female,22.65,4.4,5.75,9.0,52.0,172.0,144.0,7.350164199136585,10,2,6
2024-12-28,3866,53.0,Other,21.47,3.91,6.45,8.0,10.0,163.0,112.0,9.772262888975243,8,3,6
2024-04-07,5150,41.0,Female,21.07,3.99,6.92,10.0,35.0,238.0,147.0,5.296111023132677,4,1,2
2024-07-19,1153,19.0,Male,20.13,2.39,6.26,1.0,88.0,60.0,170.0,8.786288466145237,9,7,3
2024-05-10,2252,47.0,Female,21.18,3.49,6.3,1.0,60.0,16.0,73.0,9.524481859565125,1,8,3
2024-09-20,3708,34.0,Other,20.88,4.57,7.69,8.0,24.0,88.0,11.0,5.769675534556818,10,9,10
2024-02-16,5873,33.0,Other,20.37,3.65,7.28,6.0,6.0,269.0,78.0,9.57936213797472,9,3,8
2024-11-10,2500,35.0,Other,21.85,6.57,8.72,2.0,58.0,102.0,16.0,9.201338803545823,8,3,2
2024-05-10,3983,43.0,Other,22.72,6.08,7.36,8.0,3.0,209.0,160.0,11.087821985889498,10,2,7
2024-08-14,4241,51.0,Female,22.9,4.33,5.43,2.0,31.0,95.0,122.0,11.9834728842667,4,1,5
2024-08-23,1271,27.0,Female,20.63,3.75,7.11,1.0,48.0,2.0,172.0,6.836977261126212,2,4,2
2024-10-19,8832,18.0,Male,21.23,3.87,6.64,1.0,87.0,139.0,36.0,,6,7,8
2024-11-14,9202,30.0,Female,20.1,5.56,9.46,8.0,19.0,62.0,53.0,8.861894359030874,10,2,9
2024-08-05,1936,20.0,Female,20.07,3.72,7.65,7.0,48.0,8.0,98.0,8.778192579442727,1,10,3
2024-06-26,8312,41.0,Other,23.57,5.19,5.62,8.0,88.0,67.0,141.0,10.88101453134339,9,8,3
2024-05-02,2218,42.0,Female,23.68,8.23,8.55,8.0,24.0,260.0,138.0,4.695894079291281,8,6,8
2024-09-07,4972,43.0,Female,21.6,3.2,5.6,5.0,76.0,80.0,113.0,7.961172216111795,3,10,3
2024-02-25,7183,44.0,Male,20.53,5.43,8.89,3.0,79.0,167.0,91.0,10.804653832753935,9,9,5
2024-06-18,5286,44.0,Female,23.1,8.01,8.91,10.0,30.0,22.0,169.0,5.030958939787562,5,7,2
2024-12-21,9780,46.0,Other,21.52,2.44,4.92,1.0,16.0,222.0,97.0,9.07204562479689,8,3,6
2024-03-14,6352,49.0,Female,22.45,6.11,7.66,5.0,21.0,195.0,147.0,9.503085778406508,2,4,1
2024-01-12,9073,18.0,Female,21.92,2.65,4.73,2.0,13.0,191.0,174.0,11.751022842285533,4,3,4
2024-01-07,9220,28.0,Male,21.77,4.71,6.94,3.0,74.0,57.0,25.0,5.271506266214052,2,4,1
2024-04-08,7540,58.0,Other,22.9,7.53,8.63,4.0,31.0,129.0,174.0,9.443994416597704,6,3,1
2024-08-23,1988,38.0,Other,23.6,7.29,7.69,6.0,18.0,256.0,57.0,11.152793629433075,2,3,1
2024-10-07,1791,29.0,Female,22.72,5.58,6.87,8.0,59.0,144.0,92.0,10.212774822333934,2,4,7
2024-12-14,1959,41.0,Female,22.32,6.8,8.48,9.0,77.0,272.0,125.0,9.48452229783177,4,9,6
2024-11-14,6109,19.0,Other,23.2,4.45,5.25,5.0,17.0,94.0,165.0,6.333300629674426,9,1,6
2024-09-23,1213,41.0,Male,20.18,5.62,9.43,6.0,85.0,91.0,147.0,6.7681325411587165,8,2,1
2024-01-02,7368,50.0,Male,20.48,1.15,4.67,4.0,25.0,102.0,165.0,8.540326786092464,10,2,2
2024-04-15,9619,57.0,Other,20.03,5.01,8.98,9.0,5.0,72.0,102.0,8.903553398924847,9,2,8
2024-11-23,4389,37.0,Female,22.97,5.89,6.92,4.0,79.0,21.0,153.0,7.847230651591879,9,10,2
2024-01-12,2560,36.0,Other,21.58,5.8,8.22,7.0,52.0,182.0,31.0,7.985565731625112,2,6,2
2024-07-29,1661,54.0,Male,22.03,2.94,4.91,3.0,34.0,92.0,96.0,10.723619250215467,1,5,10
2024-01-24,9595,54.0,Female,23.98,4.68,4.7,1.0,50.0,95.0,104.0,7.508923353516724,5,2,4
2024-03-06,2394,29.0,Other,20.28,3.94,7.66,1.0,25.0,7.0,99.0,11.272260165325129,7,10,2
2024-10-19,5648,31.0,Other,20.32,3.78,7.46,6.0,16.0,27.0,65.0,10.863890031381649,5,1,8
2024-06-12,8062,48.0,Other,21.03,3.74,6.71,10.0,9.0,256.0,132.0,5.989714180701039,1,9,6
2024-10-10,4192,54.0,Other,20.18,3.06,6.87,1.0,43.0,155.0,110.0,10.946170244106067,4,2,2
2024-10-19,1281,46.0,Male,22.57,5.33,6.76,5.0,58.0,160.0,178.0,4.332582872403137,10,4,5
2024-08-29,2239,51.0,Male,21.47,6.31,8.84,8.0,42.0,177.0,150.0,9.334914060368837,4,7,4
2024-12-01,2969,59.0,Other,23.82,5.26,5.44,7.0,7.0,156.0,95.0,5.876490346678629,6,2,1
2024-11-06,6238,43.0,Other,21.48,4.47,6.99,1.0,25.0,135.0,46.0,8.564877973110637,8,9,4
2024-10-15,4072,36.0,Other,23.22,5.69,6.47,5.0,89.0,219.0,62.0,11.817393473770538,9,9,9
2024-09-01,4230,58.0,Other,23.55,6.07,6.52,4.0,18.0,81.0,140.0,10.382509190869076,3,1,8
2024-11-05,1454,42.0,Male,22.0,4.33,6.33,7.0,14.0,92.0,160.0,5.90035304699462,1,3,6
2024-09-23,8010,25.0,Female,21.15,5.45,8.3,9.0,2.0,84.0,25.0,11.61182847732793,2,6,5
2024-08-08,2177,42.0,Male,21.78,5.18,7.4,4.0,14.0,42.0,175.0,8.395313907443626,2,5,7
2024-04-16,5431,32.0,Male,23.17,5.57,6.4,4.0,20.0,140.0,18.0,4.811366627593732,4,5,4
2024-01-27,7894,45.0,Other,23.25,4.2,4.95,2.0,1.0,76.0,131.0,10.58539212476528,7,10,7
2024-06-07,4654,59.0,Male,21.92,7.23,9.31,4.0,6.0,171.0,119.0,8.211993553230247,7,6,6
2024-10-03,7869,45.0,Male,21.13,4.87,7.73,8.0,41.0,71.0,151.0,6.827371034421745,10,5,4
2024-02-19,7807,36.0,Other,21.4,2.38,4.98,4.0,73.0,241.0,68.0,5.344113661958907,3,2,1
2024-04-28,9853,54.0,Other,22.45,3.98,5.53,10.0,72.0,77.0,76.0,8.755810681489384,9,2,3
2024-09-19,7780,56.0,Male,20.17,5.62,9.46,3.0,67.0,217.0,101.0,8.627095336051273,7,4,8
2024-08-16,8843,20.0,Male,23.53,5.17,5.63,9.0,67.0,268.0,48.0,10.654904906011376,5,5,8
2024-08-17,2735,20.0,Female,23.95,6.12,6.17,6.0,1.0,214.0,171.0,9.294713518795028,1,3,2
2024-10-12,5211,25.0,Female,23.95,9.24,9.29,9.0,54.0,207.0,105.0,4.773411597173757,9,7,1
2024-05-15,8123,20.0,Female,20.37,2.86,6.5,8.0,4.0,247.0,107.0,5.949253728510933,5,4,6
2024-08-18,5895,50.0,Male,23.18,7.59,8.41,2.0,13.0,291.0,150.0,6.104900559286743,2,9,5
2024-09-14,3496,28.0,Other,23.37,8.58,9.21,2.0,54.0,261.0,162.0,10.290207654056756,6,5,4
2024-01-12,1560,59.0,Female,21.73,4.14,6.4,8.0,29.0,133.0,66.0,10.320243490456493,4,9,5
2024-06-11,7721,44.0,Female,22.28,7.57,9.29,2.0,9.0,24.0,24.0,7.834835521102814,1,4,1
2024-04-19,5917,20.0,Other,20.08,1.32,5.23,5.0,7.0,24.0,78.0,11.70492089271339,4,2,6
2024-06-08,2884,19.0,Other,22.5,3.31,4.81,3.0,33.0,265.0,88.0,4.465310364043806,2,8,9
2024-03-23,6448,45.0,Female,21.83,3.22,5.39,1.0,3.0,259.0,102.0,5.831156838772909,5,7,4
2024-08-08,1419,55.0,Other,21.6,6.53,8.93,3.0,6.0,154.0,91.0,7.853078772278899,7,5,6
2024-05-12,5481,44.0,Male,21.62,3.42,5.8,10.0,86.0,64.0,12.0,4.096966197151146,2,5,5
2024-12-03,5268,49.0,Male,22.8,6.04,7.24,5.0,51.0,255.0,116.0,7.9059290961742255,4,2,4
2024-04-21,1593,57.0,Other,20.47,2.94,6.47,6.0,41.0,20.0,41.0,11.136677511521874,9,1,8
2024-05-08,1571,46.0,Male,21.82,2.51,4.69,8.0,20.0,283.0,33.0,7.090791278786524,6,8,1
2024-03-19,9080,40.0,Male,22.07,6.25,8.19,1.0,86.0,100.0,7.0,4.333383204819074,9,7,1
2024-04-18,9599,52.0,Male,20.32,4.5,8.19,10.0,30.0,227.0,138.0,11.76599966136536,3,7,3
2024-01-28,9754,22.0,Male,21.88,6.21,8.32,10.0,37.0,110.0,111.0,11.742880278760245,8,8,9
2024-11-24,4009,32.0,Female,22.8,4.58,5.78,4.0,77.0,104.0,168.0,11.678612144607431,7,2,10
2024-05-28,4747,29.0,Other,23.02,6.53,7.51,5.0,31.0,287.0,31.0,9.251828858652022,10,1,8
2024-07-01,6784,57.0,Other,21.98,4.43,6.44,2.0,21.0,212.0,171.0,5.5797639188794985,1,8,5
2024-05-01,6341,56.0,Male,23.67,6.89,7.22,5.0,12.0,148.0,125.0,10.735988423120492,8,7,7
2024-08-23,9789,39.0,Other,20.35,3.55,7.2,2.0,1.0,28.0,179.0,10.54228263885556,3,7,8
2024-02-13,9652,39.0,Other,20.53,3.58,7.04,6.0,18.0,22.0,156.0,4.750055365164453,9,5,8
2024-12-27,8353,33.0,Male,23.07,7.97,8.91,4.0,63.0,9.0,148.0,9.864570368237398,7,2,9
2024-04-21,6132,26.0,Female,21.42,6.12,8.7,1.0,77.0,13.0,120.0,11.664587840955042,9,4,3
2024-08-10,6110,23.0,Other,20.95,3.29,6.34,4.0,19.0,23.0,153.0,7.132205585422635,5,6,8
2024-12-24,6891,37.0,Male,22.1,5.0,6.9,3.0,87.0,228.0,79.0,5.803510043709551,4,4,8
2024-09-10,1161,47.0,Female,22.5,3.11,4.61,3.0,48.0,210.0,149.0,9.563325186624423,10,6,5
2024-12-21,9623,53.0,Female,22.8,5.47,6.67,2.0,62.0,115.0,112.0,8.785802352509911,9,6,1
2024-07-16,2283,37.0,Other,22.23,4.78,6.55,7.0,8.0,89.0,143.0,5.6234909405992175,4,10,2
2024-09-15,6068,47.0,Female,21.73,5.72,7.99,3.0,18.0,34.0,45.0,5.804330639405861,5,5,4
2024-02-18,9895,22.0,Female,21.05,1.8,4.75,7.0,34.0,128.0,23.0,9.836065829219171,6,9,6
2024-06-22,8531,48.0,Male,23.33,4.18,4.84,10.0,29.0,219.0,134.0,5.975830392575999,8,10,6
2024-04-15,8896,30.0,Female,23.13,6.07,6.94,8.0,83.0,249.0,106.0,5.113962968940761,4,2,1
2024-01-07,1671,28.0,Other,23.1,5.57,6.47,10.0,13.0,164.0,57.0,11.836406723054054,5,3,7
2024-08-05,9100,41.0,Male,22.83,8.19,9.36,9.0,60.0,160.0,177.0,9.760064317304906,10,9,7
2024-03-26,4062,50.0,Male,23.55,6.07,6.52,9.0,38.0,85.0,176.0,8.348305738741168,6,6,2
2024-03-05,2537,39.0,Male,21.15,3.96,6.81,3.0,38.0,85.0,75.0,4.498184847055085,8,6,10
2024-04-08,2727,49.0,Other,20.32,3.54,7.22,4.0,85.0,142.0,119.0,5.010030262340908,6,4,9
2024-06-16,3105,45.0,Female,20.02,0.84,4.83,3.0,71.0,43.0,96.0,7.125826924908906,3,6,7
2024-10-05,7744,36.0,Male,22.17,3.69,5.52,10.0,7.0,296.0,163.0,6.211533524667169,8,7,9
2024-02-16,9078,57.0,Female,21.98,5.96,7.98,2.0,6.0,258.0,26.0,6.215235899022471,8,6,1
2024-08-07,4200,25.0,Male,23.98,8.59,8.6,5.0,3.0,245.0,18.0,11.05933094725871,7,1,7
2024-01-21,1669,30.0,Female,23.45,8.36,8.91,7.0,26.0,24.0,130.0,8.219196976981411,9,4,2
2024-06-02,7788,52.0,Male,23.47,5.45,5.98,6.0,49.0,133.0,59.0,6.514800905469987,2,9,5
2024-08-03,1587,45.0,Female,21.78,5.84,8.06,8.0,89.0,189.0,160.0,5.918992902047558,4,2,9
2024-11-02,6433,28.0,Male,22.78,6.17,7.39,1.0,68.0,107.0,138.0,10.749898611253794,3,1,4
2024-09-28,7049,19.0,Other,23.92,4.76,4.85,7.0,69.0,200.0,147.0,5.817436456188119,8,7,7
2024-05-07,7659,42.0,Other,21.23,2.8,5.56,3.0,56.0,116.0,45.0,10.073989864486744,4,1,7
2024-12-20,2787,30.0,Other,21.83,6.87,9.04,7.0,58.0,90.0,97.0,7.576444350451403,6,4,5
2024-11-23,6661,31.0,Other,23.8,4.51,4.71,8.0,13.0,153.0,101.0,6.240298636403916,9,3,3
2024-10-01,8880,45.0,Male,22.22,6.35,8.13,7.0,18.0,119.0,165.0,4.961977812093405,4,8,1
2024-10-12,1264,50.0,Male,21.17,2.04,4.87,9.0,58.0,221.0,40.0,4.385142687826828,4,8,2
2024-12-26,8804,39.0,Male,23.9,7.06,7.16,1.0,47.0,157.0,11.0,8.662454680667917,2,5,5
2024-11-20,8851,50.0,Male,20.13,5.18,9.05,4.0,34.0,215.0,64.0,4.201135666218182,7,8,6
2024-03-16,7317,32.0,Male,22.42,3.74,5.32,6.0,20.0,37.0,19.0,10.310418111242877,3,4,7
2024-12-13,1771,39.0,Male,22.35,4.16,5.81,8.0,33.0,256.0,71.0,9.07283225101065,6,6,9
2024-07-28,7716,29.0,Female,21.43,2.63,5.2,10.0,64.0,92.0,108.0,7.85632846489666,8,3,4
2024-11-07,6808,30.0,Male,21.8,2.34,4.54,8.0,42.0,89.0,38.0,10.420685436638504,1,10,6
2024-08-20,2800,41.0,Male,20.67,5.26,8.59,5.0,50.0,58.0,166.0,8.598236434115321,7,3,1
2024-06-16,9210,29.0,Male,20.73,4.27,7.54,1.0,44.0,89.0,102.0,11.632265020680324,5,8,9
2024-12-12,9365,40.0,Female,20.77,1.56,4.8,4.0,81.0,145.0,67.0,7.070711064359836,4,2,5
2024-05-26,2774,45.0,Male,20.18,1.08,4.9,9.0,38.0,257.0,28.0,9.42935965338052,2,3,10
2024-07-28,5658,26.0,Male,22.45,3.81,5.36,6.0,26.0,116.0,1.0,8.23993218341135,3,8,2
2024-03-21,5008,,Other,22.0,2.92,4.92,10.0,84.0,61.0,48.0,5.728410920093498,9,7,8
2024-10-20,2819,38.0,Female,22.28,4.8,6.52,7.0,72.0,121.0,29.0,7.571356131212657,2,3,3
2024-06-04,4243,32.0,Male,22.37,4.46,6.09,10.0,56.0,117.0,99.0,7.14379380276233,8,7,2
2024-06-04,1006,21.0,Male,23.0,5.23,6.23,4.0,18.0,156.0,145.0,9.095218539637946,1,1,6
2024-03-04,7468,25.0,Female,23.85,7.25,7.4,6.0,64.0,30.0,131.0,5.338877865109024,2,5,8
2024-12-09,1442,20.0,Other,20.05,1.05,5.0,6.0,63.0,233.0,50.0,4.186816770625487,5,10,5
2024-05-01,3172,54.0,Female,23.6,6.47,6.87,6.0,67.0,273.0,112.0,4.7056136303189655,4,1,6
2024-03-08,4236,58.0,Male,20.55,1.89,5.34,5.0,86.0,41.0,97.0,6.074679178536756,3,10,1
2024-12-06,1382,38.0,Other,22.05,4.29,6.24,8.0,12.0,110.0,97.0,7.911182654339611,3,1,3
2024-09-08,9017,57.0,Female,20.38,3.99,7.6,5.0,84.0,7.0,27.0,10.820462255212428,5,4,6
2024-05-26,7207,44.0,Male,21.17,3.43,6.27,6.0,20.0,245.0,138.0,8.394579835225393,5,1,8
2024-01-20,2960,29.0,Female,20.83,3.65,6.81,4.0,69.0,182.0,101.0,8.179553163243716,8,7,9
2024-08-29,4536,31.0,Other,21.45,6.09,8.64,4.0,6.0,162.0,47.0,11.968983597115528,8,4,1
2024-12-02,4935,,Other,22.62,4.4,5.78,5.0,12.0,188.0,30.0,9.872238100714451,2,6,6
2024-06-19,4906,27.0,Female,23.33,5.63,6.29,2.0,40.0,151.0,34.0,5.685639710937625,9,3,3
2024-09-20,3841,57.0,Other,21.1,1.82,4.72,4.0,24.0,36.0,0.0,4.552236327102797,8,8,5
2024-07-06,8295,26.0,Other,20.58,4.58,8.0,8.0,22.0,264.0,33.0,4.6211946773728405,4,6,3
2024-03-12,8938,31.0,Male,20.52,1.38,4.86,3.0,15.0,65.0,167.0,4.90345314148809,2,10,6
2024-07-06,7465,19.0,Female,20.92,2.89,5.98,2.0,38.0,214.0,119.0,7.240821556220531,6,7,5
2024-10-21,3368,34.0,Male,21.87,2.54,4.67,3.0,52.0,274.0,56.0,10.076891429598373,1,7,7
2024-02-01,6565,27.0,Female,23.12,6.39,7.27,4.0,31.0,13.0,177.0,9.711621060052718,4,5,8
2024-11-30,7846,21.0,Male,22.37,6.47,8.1,7.0,30.0,289.0,81.0,10.59022472080932,9,1,9
2024-08-28,8161,46.0,Female,21.52,4.98,7.47,1.0,86.0,87.0,49.0,7.735743999708886,6,5,9
2024-11-15,6276,45.0,Other,20.0,1.15,5.15,9.0,26.0,161.0,171.0,8.574473308857229,2,3,3
2024-06-25,9389,29.0,Other,20.27,4.2,7.94,10.0,28.0,216.0,119.0,9.406781971714691,7,5,5
2024-08-22,4607,28.0,Male,23.77,8.99,9.22,9.0,20.0,210.0,139.0,11.995729985725044,1,5,6
2024-10-30,3587,58.0,Other,22.78,4.33,5.54,3.0,70.0,12.0,140.0,7.326380005499601,2,9,9
2024-06-14,4893,39.0,Male,23.73,8.0,8.27,2.0,8.0,215.0,7.0,9.213118083818213,2,3,6
2024-05-28,1539,57.0,Female,21.0,5.95,8.95,3.0,12.0,48.0,117.0,10.256122679463738,5,5,10
